fname,label
006f2f32.wav,Hi-hat
025f3fd2.wav,Hi-hat
06c48eab.wav,Hi-hat
074e2f09.wav,Hi-hat
078f7ac0.wav,Hi-hat
0958751e.wav,Hi-hat
09a1cfd7.wav,Hi-hat
0ba927cd.wav,Hi-hat
0ed06544.wav,Hi-hat
0ef9a602.wav,Hi-hat
0f34d08e.wav,Hi-hat
1de37a8c.wav,Hi-hat
1e10d3fc.wav,Hi-hat
2032be87.wav,Hi-hat
2503aaa1.wav,Hi-hat
25bca056.wav,Hi-hat
288d0dff.wav,Hi-hat
2fbbe0d8.wav,Hi-hat
30114da8.wav,Hi-hat
34a90030.wav,Hi-hat
369164fe.wav,Hi-hat
39ff9b6b.wav,Hi-hat
3a3d0279.wav,Hi-hat
3aafb6ad.wav,Hi-hat
3d3439f1.wav,Hi-hat
41897c32.wav,Hi-hat
42470db4.wav,Hi-hat
45da8553.wav,Hi-hat
468f9c4c.wav,Hi-hat
47395931.wav,Hi-hat
001ca53d.wav,Saxophone
05e4028a.wav,Saxophone
06789937.wav,Saxophone
06f60188.wav,Saxophone
0720ef3b.wav,Saxophone
0ad0bf22.wav,Saxophone
0ad666e3.wav,Saxophone
0b1f22c3.wav,Saxophone
0c3044b3.wav,Saxophone
0c36c39a.wav,Saxophone
0d8012f4.wav,Saxophone
0e7622f0.wav,Saxophone
0f958ff0.wav,Saxophone
1264b8c7.wav,Saxophone
131b1516.wav,Saxophone
15dcc731.wav,Saxophone
1a16ebfd.wav,Saxophone
1b738acd.wav,Saxophone
1bf859a7.wav,Saxophone
1c720526.wav,Saxophone
1df3177c.wav,Saxophone
1f743685.wav,Saxophone
202cbd7d.wav,Saxophone
21bf162b.wav,Saxophone
247ac56f.wav,Saxophone
25a82ad1.wav,Saxophone
25eef09a.wav,Saxophone
25f26095.wav,Saxophone
260ffd74.wav,Saxophone
264301a3.wav,Saxophone
05d54a68.wav,Trumpet
060e13d6.wav,Trumpet
06730f97.wav,Trumpet
07211dfa.wav,Trumpet
09ea5276.wav,Trumpet
117e4577.wav,Trumpet
12d4ec7c.wav,Trumpet
1356f987.wav,Trumpet
14684ee8.wav,Trumpet
16d7ab94.wav,Trumpet
180cd1d7.wav,Trumpet
1b8986df.wav,Trumpet
1b8de5c7.wav,Trumpet
1bc55c17.wav,Trumpet
1ca0bd2f.wav,Trumpet
1eb9d116.wav,Trumpet
1f00f903.wav,Trumpet
2274dbf5.wav,Trumpet
2398cede.wav,Trumpet
2c1f9f7a.wav,Trumpet
2f4f25e0.wav,Trumpet
36514399.wav,Trumpet
368de55c.wav,Trumpet
3934519b.wav,Trumpet
3c4b21ac.wav,Trumpet
3d3f2beb.wav,Trumpet
3e6e8db6.wav,Trumpet
40abcc5e.wav,Trumpet
47178b5e.wav,Trumpet
4b17c19e.wav,Trumpet
0033e230.wav,Glockenspiel
00f88dc5.wav,Glockenspiel
03bb1c33.wav,Glockenspiel
0bca94ec.wav,Glockenspiel
0d481dea.wav,Glockenspiel
104f8672.wav,Glockenspiel
142dac40.wav,Glockenspiel
15b4b254.wav,Glockenspiel
16568e3d.wav,Glockenspiel
00353774.wav,Cello
0091fc7f.wav,Cello
011a2185.wav,Cello
05561612.wav,Cello
071803a0.wav,Cello
07f16007.wav,Cello
1176bda6.wav,Cello
11798f57.wav,Cello
125e6ccf.wav,Cello
154df401.wav,Cello
188acf6a.wav,Cello
195f544d.wav,Cello
1c2b5b18.wav,Cello
1c6b07b8.wav,Cello
1d5a6f5f.wav,Cello
20e6791a.wav,Cello
22bea889.wav,Cello
238b16a5.wav,Cello
238fb6b8.wav,Cello
246ad992.wav,Cello
25cc1f6a.wav,Cello
2a55208f.wav,Cello
2ae249e8.wav,Cello
2b315768.wav,Cello
2da9e12a.wav,Cello
2f6c4dec.wav,Cello
31dbc5c0.wav,Cello
34dacafb.wav,Cello
34e4d187.wav,Cello
39f86ded.wav,Cello
003da8e5.wav,Knock
022cc908.wav,Knock
025f7eac.wav,Knock
03a01285.wav,Knock
04a7003c.wav,Knock
04ad9aa5.wav,Knock
05149415.wav,Knock
0784c182.wav,Knock
097b5ab0.wav,Knock
0aa17642.wav,Knock
0b95a1b5.wav,Knock
0da86798.wav,Knock
1071fd84.wav,Knock
1387ba89.wav,Knock
182919ec.wav,Knock
1bd3ba0b.wav,Knock
1c603b9f.wav,Knock
1eddce43.wav,Knock
2665dfa2.wav,Knock
28712a45.wav,Knock
28b75c35.wav,Knock
29a016e0.wav,Knock
2ed3c63d.wav,Knock
31d1119d.wav,Knock
36b2afa9.wav,Knock
3d51eb7a.wav,Knock
3ead1c2e.wav,Knock
0048fd00.wav,Gunshot_or_gunfire
01f2e70b.wav,Gunshot_or_gunfire
029ee867.wav,Gunshot_or_gunfire
05bc162b.wav,Gunshot_or_gunfire
07ce4408.wav,Gunshot_or_gunfire
0933c357.wav,Gunshot_or_gunfire
0aad0a16.wav,Gunshot_or_gunfire
0c27360a.wav,Gunshot_or_gunfire
0e2ec031.wav,Gunshot_or_gunfire
0ede064f.wav,Gunshot_or_gunfire
111bad6f.wav,Gunshot_or_gunfire
11329fa9.wav,Gunshot_or_gunfire
169a69f3.wav,Gunshot_or_gunfire
1787d4d9.wav,Gunshot_or_gunfire
027aa77c.wav,Clarinet
02d367e4.wav,Clarinet
05f2c2a6.wav,Clarinet
079968f4.wav,Clarinet
0b82b3a5.wav,Clarinet
0ba6976e.wav,Clarinet
11f7fc13.wav,Clarinet
162276f0.wav,Clarinet
19105b8a.wav,Clarinet
1c76a229.wav,Clarinet
1f81cc2b.wav,Clarinet
23219d68.wav,Clarinet
24ba0ef2.wav,Clarinet
2c5448df.wav,Clarinet
2e1cd085.wav,Clarinet
2f3515c2.wav,Clarinet
2f84b9ec.wav,Clarinet
2fb7c05e.wav,Clarinet
2fc00271.wav,Clarinet
33f7555a.wav,Clarinet
3518605b.wav,Clarinet
36defe49.wav,Clarinet
39977cdf.wav,Clarinet
3b60c423.wav,Clarinet
3c24b853.wav,Clarinet
3c66098d.wav,Clarinet
3c713bcf.wav,Clarinet
3c8323d0.wav,Clarinet
3cbe9902.wav,Clarinet
3f7e6da8.wav,Clarinet
08d931c3.wav,Computer_keyboard
0994e80c.wav,Computer_keyboard
09b901f8.wav,Computer_keyboard
0acba147.wav,Computer_keyboard
11d883c3.wav,Computer_keyboard
151b80e7.wav,Computer_keyboard
1e275fbc.wav,Computer_keyboard
2924977b.wav,Computer_keyboard
29de4510.wav,Computer_keyboard
2d189f89.wav,Computer_keyboard
349ff282.wav,Computer_keyboard
0256c2f2.wav,Keys_jangling
081c263d.wav,Keys_jangling
09a585bf.wav,Keys_jangling
0bc522f3.wav,Keys_jangling
155b4487.wav,Keys_jangling
197fe6b5.wav,Keys_jangling
1d542616.wav,Keys_jangling
20e4c84a.wav,Keys_jangling
26f2aaee.wav,Keys_jangling
275018bb.wav,Keys_jangling
28ab5413.wav,Keys_jangling
28d80cf6.wav,Keys_jangling
2b2e2b89.wav,Keys_jangling
0446a487.wav,Snare_drum
0c67f402.wav,Snare_drum
1bc8eae1.wav,Snare_drum
1c9a423f.wav,Snare_drum
1e0c7af2.wav,Snare_drum
1e3391d5.wav,Snare_drum
2013a12f.wav,Snare_drum
229be2be.wav,Snare_drum
22e1c02c.wav,Snare_drum
254d9054.wav,Snare_drum
31db8c5e.wav,Snare_drum
33630c6c.wav,Snare_drum
368d4b71.wav,Snare_drum
36d06cc0.wav,Snare_drum
3c87c17a.wav,Snare_drum
3f7b7686.wav,Snare_drum
46b52f97.wav,Snare_drum
488b452c.wav,Snare_drum
4c4d4797.wav,Snare_drum
4c590f69.wav,Snare_drum
4e74d920.wav,Snare_drum
561d33d3.wav,Snare_drum
5c33d972.wav,Snare_drum
5c59741d.wav,Snare_drum
5ce40b1b.wav,Snare_drum
5d9ca598.wav,Snare_drum
68e1a3e9.wav,Snare_drum
6a353424.wav,Snare_drum
6fca680b.wav,Snare_drum
7396e929.wav,Snare_drum
04a19a27.wav,Writing
080bffb7.wav,Writing
0a366772.wav,Writing
0a484e9f.wav,Writing
103eceae.wav,Writing
10b0e98b.wav,Writing
13ac472f.wav,Writing
17fe000f.wav,Writing
1907767f.wav,Writing
192c2ba5.wav,Writing
1abba907.wav,Writing
1adb85b7.wav,Writing
2083da16.wav,Writing
275aa312.wav,Writing
28aec29b.wav,Writing
3077952d.wav,Writing
37349835.wav,Writing
41529de9.wav,Writing
41a68fc0.wav,Writing
470f4da3.wav,Writing
48b17f9f.wav,Writing
496a7539.wav,Writing
4c6470d0.wav,Writing
5230e439.wav,Writing
542bb157.wav,Writing
594f603c.wav,Writing
6a7ea03a.wav,Writing
0097160c.wav,Laughter
00c934d7.wav,Laughter
